pers_originID,pers_nom,pers_prenom,pers_identifierInDataGouv,pers_picture
1,David,Alain,PA1008,https://www2.assemblee-nationale.fr/static/tribun/15/photos/1008.jpg
31,"de la Verpillière",Charles,PA1012,https://www2.assemblee-nationale.fr/static/tribun/15/photos/1012.jpg
51,Deflesselles,Bernard,PA1029,https://www2.assemblee-nationale.fr/static/tribun/15/photos/1029.jpg
61,Dumont,Laurence,PA1198,https://www2.assemblee-nationale.fr/static/tribun/15/photos/1198.jpg
71,Dupont-Aignan,Nicolas,PA1206,https://www2.assemblee-nationale.fr/static/tribun/15/photos/1206.jpg
91,Fanget,Michel,PA1276,https://www2.assemblee-nationale.fr/static/tribun/15/photos/1276.jpg
111,Forissier,Nicolas,PA1327,https://www2.assemblee-nationale.fr/static/tribun/15/photos/1327.jpg
121,Habib,David,PA1592,https://www2.assemblee-nationale.fr/static/tribun/15/photos/1592.jpg
131,Herbillon,Michel,PA1630,https://www2.assemblee-nationale.fr/static/tribun/15/photos/1630.jpg
141,Jacob,Christian,PA1695,https://www2.assemblee-nationale.fr/static/tribun/15/photos/1695.jpg
151,Lambert,Jérôme,PA1809,https://www2.assemblee-nationale.fr/static/tribun/15/photos/1809.jpg
161,Lassalle,Jean,PA1838,https://www2.assemblee-nationale.fr/static/tribun/15/photos/1838.jpg
181,"Le Fur",Marc,PA1874,https://www2.assemblee-nationale.fr/static/tribun/15/photos/1874.jpg
191,Mélenchon,Jean-Luc,PA2150,https://www2.assemblee-nationale.fr/static/tribun/15/photos/2150.jpg
211,Menuel,Gérard,PA2155,https://www2.assemblee-nationale.fr/static/tribun/15/photos/2155.jpg
221,Brochand,Bernard,PA223837,https://www2.assemblee-nationale.fr/static/tribun/15/photos/223837.jpg
231,Perrut,Bernard,PA2377,https://www2.assemblee-nationale.fr/static/tribun/15/photos/2377.jpg
241,Pont,Jean-Pierre,PA2449,https://www2.assemblee-nationale.fr/static/tribun/15/photos/2449.jpg
261,Quentin,Didier,PA2492,https://www2.assemblee-nationale.fr/static/tribun/15/photos/2492.jpg
271,Reitzer,Jean-Luc,PA2529,https://www2.assemblee-nationale.fr/static/tribun/15/photos/2529.jpg
281,Reiss,Frédéric,PA266776,https://www2.assemblee-nationale.fr/static/tribun/15/photos/266776.jpg
291,Morel-À-L'Huissier,Pierre,PA266788,https://www2.assemblee-nationale.fr/static/tribun/15/photos/266788.jpg
311,Bony,Jean-Yves,PA266793,https://www2.assemblee-nationale.fr/static/tribun/15/photos/266793.jpg
321,Gosselin,Philippe,PA266797,https://www2.assemblee-nationale.fr/static/tribun/15/photos/266797.jpg
331,Rolland,Vincent,PA266808,https://www2.assemblee-nationale.fr/static/tribun/15/photos/266808.jpg
341,Favennec-Bécot,Yannick,PA267042,https://www2.assemblee-nationale.fr/static/tribun/15/photos/267042.jpg
351,Huyghe,Sébastien,PA267200,https://www2.assemblee-nationale.fr/static/tribun/15/photos/267200.jpg
361,Sermier,Jean-Marie,PA267204,https://www2.assemblee-nationale.fr/static/tribun/15/photos/267204.jpg
371,Poletti,Bérengère,PA267260,https://www2.assemblee-nationale.fr/static/tribun/15/photos/267260.jpg
381,Door,Jean-Pierre,PA267289,https://www2.assemblee-nationale.fr/static/tribun/15/photos/267289.jpg
391,Chassaigne,André,PA267306,https://www2.assemblee-nationale.fr/static/tribun/15/photos/267306.jpg
411,Grelier,Jean-Carles,PA267318,https://www2.assemblee-nationale.fr/static/tribun/15/photos/267318.jpg
421,Gaultier,Jean-Jacques,PA267324,https://www2.assemblee-nationale.fr/static/tribun/15/photos/267324.jpg
431,Zumkeller,Michel,PA267330,https://www2.assemblee-nationale.fr/static/tribun/15/photos/267330.jpg
441,Bouchet,Claire,PA267337,https://www2.assemblee-nationale.fr/static/tribun/15/photos/267337.jpg
451,Herth,Antoine,PA267355,https://www2.assemblee-nationale.fr/static/tribun/15/photos/267355.jpg
461,Levy,Geneviève,PA267378,https://www2.assemblee-nationale.fr/static/tribun/15/photos/267378.jpg
